id,image,text,type,original_dataset_label,model_prediction,human_annotation,majority_voting
42953,../FHM/img/42953.png,its their character not their color that matters,train,0,0,,0
23058,../FHM/img/23058.png,don t be afraid to love again everyone is not like your ex,train,0,0,,0
13894,../FHM/img/13894.png,putting bows on your pet,train,0,0,,0
37408,../FHM/img/37408.png,i love everything and everybody except for squirrels i hate squirrels,train,0,0,,0
82403,../FHM/img/82403.png,everybody loves chocolate chip cookies even hitler,train,0,0,,0
16952,../FHM/img/16952.png,go sports do the thing win the points,train,0,0,,0
76932,../FHM/img/76932.png,fine you re right now can we fucking drop it,train,0,1,1,1
70914,../FHM/img/70914.png,tattoos are bad for your health i know million people that had tattoos and they all died,train,0,1,1,1
2973,../FHM/img/02973.png,how long can i run till the chain tightens,train,0,0,,0
58306,../FHM/img/58306.png,what is he hiding we need to see his tax returns let me stop you right there hillary you deleted emails used bleach bit on hard drives then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored,train,0,1,1,1
79351,../FHM/img/79351.png,jew mad get fuhrerious,train,1,1,,1
34096,../FHM/img/34096.png,removes polish with chemicals nobody bats an eye,train,0,0,,0
25489,../FHM/img/25489.png,brother a day without a blast is a day wasted,train,1,0,1,1
19324,../FHM/img/19324.png,when you re the only dog left at the dog shelter and the black family wants to adopt you,train,0,0,,0
79346,../FHM/img/79346.png,voting for hillary is like letting casey anthony watch your kids because she s not guilty,train,0,1,1,1
13426,../FHM/img/13426.png,they will soon be free,train,0,0,,0
97628,../FHM/img/97628.png,is it ok for your son or daughter to call another man daddy,train,0,0,,0
14238,../FHM/img/14238.png,most religions are religions of peace,train,0,0,,0
28936,../FHM/img/28936.png,when you find out there s an opening for the role of first lady,train,0,0,,0
59784,../FHM/img/59784.png,if people reject me because i stand on the truth then i have no problem walking alone,train,0,0,,0
2146,../FHM/img/02146.png,from the bottom of my heart i would like to sincerely apologize for being white,train,0,1,1,1
70146,../FHM/img/70146.png,lets erect a memorial to all the americans murdered by an illegal alien make it miles long feet tall and put it on the southern border,train,0,1,1,1
28061,../FHM/img/28061.png,just because they do this dosen t mean they ll do this,train,0,0,,0
97180,../FHM/img/97180.png,if there is no race it can t be homicide,train,0,0,,0
49752,../FHM/img/49752.png,here s to all my friends who never post about politics or religion,train,0,0,,0
25610,../FHM/img/25610.png,enjoying a day at the beach,train,0,0,,0
15872,../FHM/img/15872.png,when you come home from a long day of suicide bombinb and your wife gives you this look,train,0,0,,0
72640,../FHM/img/72640.png,is bribing muslims for liberal votes justin trudeau s only skill why does justin trudeau love foreigners so much while openly disrespecting canadians canadian values our history and traditions our seniors and veterans sharia law has no place in canada never has never will,train,1,1,,1
64318,../FHM/img/64318.png,when they take too long to blow out the candle,train,0,0,,0
17956,../FHM/img/17956.png,one simple question why are we letting one man systematically destroy our nation before our eyes answer mitch mcconnell,train,0,1,1,1
93547,../FHM/img/93547.png,d j osama spin laden droppin beats like the twin towers,train,1,0,0,0
10743,../FHM/img/10743.png,move to new york they said it ll be fun they said,train,0,0,,0
37091,../FHM/img/37091.png,my sandwich maker is very slow today,train,0,0,,0
25719,../FHM/img/25719.png,when you accidentally fall in the toilet,train,0,0,,0
76825,../FHM/img/76825.png,two woman walking home together after a nice day out together,train,0,0,,0
72598,../FHM/img/72598.png,texas churches be like pew pew pew,train,0,0,,0
43078,../FHM/img/43078.png,i don t always have a heat stroke and get frostbite in the same week but when i do i know i m in kentucky,train,0,0,,0
51846,../FHM/img/51846.png,doesn t wear tampons because she trips over the string,train,0,0,,0
1569,../FHM/img/01569.png,when you can t decide to pre heat the oven or just throw the meal in right away,train,0,0,,0
95812,../FHM/img/95812.png,happy shot in the face day,train,0,1,1,1
6418,../FHM/img/06418.png,bomb every minute,train,0,0,,0
53976,../FHM/img/53976.png,black power comes with a lot of responsibility,train,0,0,,0
70193,../FHM/img/70193.png,that chiken is so black no one is going to eat it,train,0,1,1,1
60427,../FHM/img/60427.png,i hope both teams lose,train,0,0,,0
78395,../FHM/img/78395.png,say the damn pronouns,train,0,0,,0
4876,../FHM/img/04876.png,goin,train,0,0,,0
92075,../FHM/img/92075.png,we need problem solvers not racist and religious bigots in office,train,0,1,1,1
86354,../FHM/img/86354.png,officer down,train,0,0,,0
74386,../FHM/img/74386.png,we said we would never forget why are you voting them into our government,train,1,0,1,1
59613,../FHM/img/59613.png,when a porn video features a tranny but then she turns out to be a midget too you had my curiosity but now you have my attention,train,0,1,1,1
10263,../FHM/img/10263.png,rep dan crenshaw former navy seal decorated war hero literally lost an eye doing something about terrorism rep ocasio cortez former bartender supports socialism told dan crenshawn he should do something about terrorism,train,0,1,1,1
48279,../FHM/img/48279.png,nice watch must have cost an arm and a leg,train,0,0,,0
52610,../FHM/img/52610.png,i m sick of politics so here s a pic of michelle obama riding a unicorn,train,1,0,0,0
58371,../FHM/img/58371.png,when you suck at photoshop,train,0,0,,0
27401,../FHM/img/27401.png,for the last time i m not michelle obama,train,0,0,,0
89574,../FHM/img/89574.png,i m cute,train,0,0,,0
25473,../FHM/img/25473.png,and then i told them you re going on a fun camping trip,train,0,0,,0
47913,../FHM/img/47913.png,the jussie smollett case explained how do you plead innocent black gay trump hater friend of michelle obama,train,0,1,1,1
8295,../FHM/img/08295.png,please consider donating water to children in need,train,0,0,,0
2497,../FHM/img/02497.png,you re a wizard motherfucker,train,0,1,1,1
90471,../FHM/img/90471.png,relax mexicans you are rapists drug lords and criminals,train,0,1,1,1
69357,../FHM/img/69357.png,hey look at me i m a serial pedofile,train,1,1,,1
54602,../FHM/img/54602.png,when you just finished shooting a bunch of black kids but accidently killed a squirrel,train,1,1,,1
15320,../FHM/img/15320.png,obama working to legalize medical cannabis for all of the usa,train,0,0,,0
63182,../FHM/img/63182.png,my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean,train,0,0,,0
20619,../FHM/img/20619.png,when you beat the shit out of the tranny hooker after you nut and call it a f t but it doesn t get back up,train,1,1,,1
82457,../FHM/img/82457.png,ring ring hello i ve been waiting for your call all damn day,train,0,1,1,1
81059,../FHM/img/81059.png,i like my refugees like this,train,0,1,0,0
42137,../FHM/img/42137.png,when you get hungry you can either think about it or,train,0,0,,0
74530,../FHM/img/74530.png,what s the difference between a jew and a pizza a pizza doesn t scream when you put it in the oven,train,1,0,0,0
40832,../FHM/img/40832.png,taking photo with a mosque,train,0,0,,0
46127,../FHM/img/46127.png,ay tone how d da gas stay in if da door is made of wood,train,0,0,,0
87594,../FHM/img/87594.png,what do i have in common with cow pies the older we get the easier for you to pick us up,train,0,0,,0
12548,../FHM/img/12548.png,running chocolate,train,0,0,,0
12894,../FHM/img/12894.png,imagine if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money but believe they are free,train,0,1,1,1
2476,../FHM/img/02476.png,im never doing a garden again,train,0,0,,0
6937,../FHM/img/06937.png,coming soon to your neighborhood islamic heathens demanding the usa change to suit thier sick religion,train,0,1,1,1
5762,../FHM/img/05762.png,listen bitch before you start fucking with me you should know my team is bigger,train,0,1,1,1
40259,../FHM/img/40259.png,masturbation it s not just for men,train,0,0,,0
85072,../FHM/img/85072.png,what is this sleep of which you speak,train,0,0,,0
46537,../FHM/img/46537.png,oakland mayor libby schaaf i saved ms rapists murderers molesters from ice,train,0,1,1,1
56432,../FHM/img/56432.png,what if i told you that you cant tolerate a person who agrees with you,train,0,1,1,1
39805,../FHM/img/39805.png,look both ways before you cross the street,train,0,0,,0
29163,../FHM/img/29163.png,what kind of punch can take out kids and adults a sandy hook,train,1,0,0,0
36072,../FHM/img/36072.png,she said choke me daddy so i gave her popeye s biscuits without a drink,train,0,0,,0
60147,../FHM/img/60147.png,meditation before going to school,train,0,0,,0
90583,../FHM/img/90583.png,we can kill as many as we want and your stupid government keeps bringing us in,train,1,1,,1
38612,../FHM/img/38612.png,so there is this new implant that can actually fix stupid,train,0,0,,0
52097,../FHM/img/52097.png,if you re vaping inside a mcdonalds inside a walmart that s the turducken of white trash,train,1,0,1,1
34961,../FHM/img/34961.png,this cat is pushing a watermelon out of a lake your argument is invalid,train,0,0,,0
15803,../FHM/img/15803.png,what do you call a retarded jew auschwistic,train,1,1,,1
89762,../FHM/img/89762.png,that blackened chicken was so dry it reminded me of your mother,train,0,1,1,1
38465,../FHM/img/38465.png,yo dawg i heard you like memes so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes,train,0,0,,0
53289,../FHM/img/53289.png,when everybody s worried about their ex but you re just here enjoying your lemonade,train,0,0,,0
75321,../FHM/img/75321.png,cannibal tribe from indonesia will take muslim refugess in any amount,train,1,1,,1
18350,../FHM/img/18350.png,when you see the gas bill,train,0,0,,0
91547,../FHM/img/91547.png,cheers to all the people who can change their minds when presented with information that contradicts their beliefs,train,0,0,,0
30247,../FHM/img/30247.png,broken chair,train,0,0,,0
93741,../FHM/img/93741.png,stop being a bitch,train,0,1,1,1
51243,../FHM/img/51243.png,honestly how often do you masturbate,train,0,0,,0
5384,../FHM/img/05384.png,spending quality time with dad,train,0,0,,0
1845,../FHM/img/01845.png,when you consume too much trans fat,train,0,0,,0
34791,../FHM/img/34791.png,when i was a boy we didn t have things like adhd it was called being a little bastard,train,1,0,1,1
41385,../FHM/img/41385.png,y all kids claims to be victims of slavery when we were the ones who lived it,train,0,1,1,1
34508,../FHM/img/34508.png,jews are the problem not just zionists or israelis jews all of them,train,1,1,,1
80521,../FHM/img/80521.png,him the dishwasher is acting weird her what s it doing him chopping fucking vegetables,train,0,1,1,1
34165,../FHM/img/34165.png,be happy you dont have neanderthal dna,train,0,0,,0
93072,../FHM/img/93072.png,black people black people why would white america do this,train,1,0,1,1
25468,../FHM/img/25468.png,white people walked on all fours before black people came and showed them how to stand up,train,1,1,,1
9617,../FHM/img/09617.png,when you turn on the light and realize you have been fisting the wrong hole,train,0,1,1,1
96258,../FHM/img/96258.png,its national hebrew day go pick up a hot girl,train,0,1,1,1
